accuracy,loss,val_accuracy,val_loss
0.05710035562515259,3.7410764694213867,0.14000000059604645,3.3478593826293945
0.1414349526166916,3.302924633026123,0.25600001215934753,2.815788507461548
0.20997825264930725,2.997972011566162,0.25999999046325684,2.688148021697998
0.25185948610305786,2.7731432914733887,0.3440000116825104,2.3092634677886963
0.2900789678096771,2.633026361465454,0.41200000047683716,2.1759467124938965
0.31445246934890747,2.5080389976501465,0.46799999475479126,1.9698271751403809
0.32944273948669434,2.4059295654296875,0.41600000858306885,2.10968017578125
0.360567569732666,2.317431926727295,0.5,1.8620368242263794
0.37281152606010437,2.2612388134002686,0.5040000081062317,1.9500739574432373
0.3961551785469055,2.1890952587127686,0.5320000052452087,1.8020193576812744
0.39810046553611755,2.1152567863464355,0.527999997138977,1.7357319593429565
0.41984209418296814,2.052809238433838,0.5239999890327454,1.720186471939087
0.43197160959243774,2.019249439239502,0.5400000214576721,1.854430079460144
0.44158369302749634,1.9852443933486938,0.5519999861717224,1.6932103633880615
0.4427280128002167,1.960239291191101,0.5759999752044678,1.735604166984558
0.449479341506958,1.9273948669433594,0.6119999885559082,1.580971121788025
0.4633253216743469,1.8736772537231445,0.5759999752044678,1.6806063652038574
0.46927565336227417,1.84120512008667,0.6240000128746033,1.4757275581359863
0.47991761565208435,1.8111437559127808,0.5799999833106995,1.5881898403167725
0.4802609086036682,1.7869770526885986,0.5799999833106995,1.5479276180267334
0.4894152581691742,1.7754465341567993,0.6159999966621399,1.4328866004943848
0.4923904240131378,1.7641963958740234,0.6079999804496765,1.4683189392089844
0.5047488212585449,1.7166727781295776,0.5799999833106995,1.4437668323516846
0.509669303894043,1.692131757736206,0.6039999723434448,1.421247959136963
0.5112712979316711,1.69619619846344,0.6399999856948853,1.4217711687088013
0.5181370973587036,1.6700717210769653,0.5960000157356262,1.5073397159576416
0.5237441062927246,1.6682597398757935,0.6359999775886536,1.5138779878616333
0.5301522016525269,1.6311454772949219,0.6159999966621399,1.4188568592071533
0.5264904499053955,1.6127853393554688,0.628000020980835,1.5041663646697998
0.5358736515045166,1.5977145433425903,0.656000018119812,1.4188742637634277
0.5325552225112915,1.5945152044296265,0.6480000019073486,1.349826693534851
0.5324407815933228,1.588407278060913,0.6399999856948853,1.3311078548431396
0.5427394509315491,1.560821294784546,0.6600000262260437,1.3313336372375488
0.5398787260055542,1.566823959350586,0.6520000100135803,1.427303433418274
0.5468589067459106,1.533921718597412,0.6480000019073486,1.428239345550537
0.5509783625602722,1.5440360307693481,0.6800000071525574,1.3975814580917358
0.5548689961433411,1.5334428548812866,0.656000018119812,1.4292978048324585
0.5507495403289795,1.5170493125915527,0.6439999938011169,1.4099791049957275
