accuracy,loss,val_accuracy,val_loss
0.70900559425354,1.0617649555206299,0.9039999842643738,0.4127994477748871
0.8544455766677856,0.49193063378334045,0.9039999842643738,0.3911726176738739
0.886829137802124,0.36379677057266235,0.8759999871253967,0.4228716790676117
0.8981576561927795,0.3107241690158844,0.9200000166893005,0.35662734508514404
0.9172674417495728,0.2622997462749481,0.9240000247955322,0.34411412477493286
0.9185261726379395,0.2527869939804077,0.9240000247955322,0.2782776355743408
0.9207003116607666,0.24061915278434753,0.9319999814033508,0.32466742396354675
0.9309989809989929,0.21658718585968018,0.9319999814033508,0.34639787673950195
0.9391234517097473,0.19494061172008514,0.9279999732971191,0.32574447989463806
0.9394667744636536,0.1882564127445221,0.9160000085830688,0.4109184145927429
0.9440439343452454,0.17114801704883575,0.9160000085830688,0.36104995012283325
